"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"P0_MN008","1303","201901010000","1013.5","0","3"
"P0_MN008","1303","201901010100","1013.4","0","3"
"P0_MN008","1303","201901010200","1013","0","3"
"P0_MN008","1303","201901010300","1012.3","0","3"
"P0_MN008","1303","201901010400","1011.5","0","3"
"P0_MN008","1303","201901010500","1010.6","0","3"
"P0_MN008","1303","201901010600","1010.6","0","3"
"P0_MN008","1303","201901010700","1010.4","0","3"
"P0_MN008","1303","201901010800","1010.3","0","3"
"P0_MN008","1303","201901010900","1009.6","0","3"
"P0_MN008","1303","201901011000","1009.2","0","3"
"P0_MN008","1303","201901011100","1009.3","0","3"
"P0_MN008","1303","201901011200","1008.7","0","3"
"P0_MN008","1303","201901011300","1008.6","0","3"
"P0_MN008","1303","201901011400","1008.7","0","3"
"P0_MN008","1303","201901011500","1009","0","3"
"P0_MN008","1303","201901011600","1009.5","0","3"
"P0_MN008","1303","201901011700","1009.9","0","3"
"P0_MN008","1303","201901011800","1010.6","0","3"
"P0_MN008","1303","201901011900","1011","0","3"
"P0_MN008","1303","201901012000","1011.5","0","3"
"P0_MN008","1303","201901012100","1011.7","0","3"
"P0_MN008","1303","201901012200","1011.4","0","3"
"P0_MN008","1303","201901012300","1011.9","0","3"
"P0_MN008","1303","201901020000","1012.6","0","3"
"P0_MN008","1303","201901020100","1012.9","0","3"
"P0_MN008","1303","201901020200","1013.2","0","3"
"P0_MN008","1303","201901020300","1013.5","0","3"
"P0_MN008","1303","201901020400","1013.7","0","3"
"P0_MN008","1303","201901020500","1013.8","0","3"
"P0_MN008","1303","201901020600","1014.2","0","3"
"P0_MN008","1303","201901020700","1014.8","0","3"
"P0_MN008","1303","201901020800","1015.5","0","3"
"P0_MN008","1303","201901020900","1015.8","0","3"
"P0_MN008","1303","201901021000","1016.4","0","3"
"P0_MN008","1303","201901021100","1016.7","0","3"
"P0_MN008","1303","201901021200","1016.5","0","3"
"P0_MN008","1303","201901021300","1016.6","0","3"
"P0_MN008","1303","201901021400","1017.2","0","3"
"P0_MN008","1303","201901021500","1017.6","0","3"
"P0_MN008","1303","201901021600","1018","0","3"
"P0_MN008","1303","201901021700","1018.6","0","3"
"P0_MN008","1303","201901021800","1018.9","0","3"
"P0_MN008","1303","201901021900","1019.3","0","3"
"P0_MN008","1303","201901022000","1019.6","0","3"
"P0_MN008","1303","201901022100","1019.4","0","3"
"P0_MN008","1303","201901022200","1019.2","0","3"
"P0_MN008","1303","201901022300","1019.2","0","3"
"P0_MN008","1303","201901030000","1019.2","0","3"
"P0_MN008","1303","201901030100","1019.1","0","3"
"P0_MN008","1303","201901030200","1019.9","0","3"
"P0_MN008","1303","201901030300","1019.7","0","3"
"P0_MN008","1303","201901030400","1019.4","0","3"
"P0_MN008","1303","201901030500","1019.2","0","3"
"P0_MN008","1303","201901030600","1019.2","0","3"
"P0_MN008","1303","201901030700","1019.4","0","3"
"P0_MN008","1303","201901030800","1019.7","0","3"
"P0_MN008","1303","201901030900","1020","0","3"
"P0_MN008","1303","201901031000","1020.3","0","3"
"P0_MN008","1303","201901031100","1019.8","0","3"
"P0_MN008","1303","201901031200","1019.5","0","3"
