Zeitstempel,airPressure,airTemperature,cloudCoverage,windVelocity,precipitationAmount,relativeHumidity,numOfRentedBikes,dayOfTheWeek,isWeekend,hour
2019-01-20 00:00:00,1002.6,-3.4,1,2.6,0.0,75,61.0,6,1,0
2019-01-20 01:00:00,1002.6,-5.2,1,1.8,0.0,82,39.0,6,1,1
2019-01-20 02:00:00,1002.8,-4.7,1,1.7,0.0,80,27.0,6,1,2
2019-01-20 03:00:00,1002.9,-5.6,1,2.2,0.0,84,25.0,6,1,3
2019-01-20 04:00:00,1002.8,-4.3,1,1.8,0.0,74,10.0,6,1,4
2019-01-20 05:00:00,1002.6,-4.7,0,1.8,0.0,76,12.0,6,1,5
2019-01-20 06:00:00,1002.8,-5.0,0,3.1,0.0,76,11.0,6,1,6
2019-01-20 07:00:00,1003.5,-5.3,1,2.0,0.0,78,25.0,6,1,7
2019-01-20 08:00:00,1004.2,-4.7,1,1.0,0.0,76,28.0,6,1,8
2019-01-20 09:00:00,1004.8,-3.3,1,1.8,0.0,71,63.0,6,1,9
2019-01-20 10:00:00,1005.2,-2.2,1,3.4,0.0,66,70.0,6,1,10
2019-01-20 11:00:00,1005.5,-0.9,1,1.9,0.0,63,76.0,6,1,11
2019-01-20 12:00:00,1005.6,0.1,1,2.2,0.0,63,89.0,6,1,12
2019-01-20 13:00:00,1005.5,0.9,0,2.7,0.0,60,108.0,6,1,13
2019-01-20 14:00:00,1005.5,1.5,0,2.6,0.0,57,115.0,6,1,14
2019-01-20 15:00:00,1005.7,1.7,0,3.1,0.0,57,112.0,6,1,15
2019-01-20 16:00:00,1006.2,0.6,1,1.3,0.0,62,108.0,6,1,16
2019-01-20 17:00:00,1006.7,-1.6,1,1.5,0.0,73,89.0,6,1,17
2019-01-20 18:00:00,1007.2,-2.7,0,2.6,0.0,81,89.0,6,1,18
2019-01-20 19:00:00,1007.8,-4.3,0,1.3,0.0,87,63.0,6,1,19
2019-01-20 20:00:00,1008.3,-4.8,0,2.7,0.0,90,49.0,6,1,20
2019-01-20 21:00:00,1008.9,-4.6,0,0.5,0.0,91,35.0,6,1,21
2019-01-20 22:00:00,1009.5,-6.0,0,1.5,0.0,95,24.0,6,1,22
2019-01-20 23:00:00,1010.1,-5.6,0,2.1,0.0,94,10.0,6,1,23
2019-01-21 00:00:00,1010.3,-6.8,0,1.6,0.0,93,13.0,0,0,0
2019-01-21 01:00:00,1010.2,-7.1,0,1.0,0.0,93,11.0,0,0,1
2019-01-21 02:00:00,1010.7,-7.3,0,1.5,0.0,95,2.0,0,0,2
2019-01-21 03:00:00,1010.7,-8.1,0,1.8,0.0,93,5.0,0,0,3
2019-01-21 04:00:00,1010.9,-7.9,0,2.2,0.0,92,14.0,0,0,4
2019-01-21 05:00:00,1010.8,-8.9,0,2.4,0.0,90,33.0,0,0,5
2019-01-21 06:00:00,1011.1,-9.2,0,0.7,0.0,90,83.0,0,0,6
2019-01-21 07:00:00,1011.3,-9.1,0,2.0,0.0,94,133.0,0,0,7
2019-01-21 08:00:00,1011.6,-8.8,1,2.1,0.0,84,101.0,0,0,8
