Zeitstempel,airPressure,airTemperature,cloudCoverage,windVelocity,precipitationAmount,relativeHumidity,numOfRentedBikes,dayOfTheWeek,isWeekend,hour
2019-01-20 00:00:00,996.5,-2.6,0,3.2,0.0,70,2.0,6,1,0
2019-01-20 01:00:00,996.4,-2.1,0,2.6,0.0,61,0.0,6,1,1
2019-01-20 02:00:00,996.4,-2.5,0,2.7,0.0,63,0.0,6,1,2
2019-01-20 03:00:00,996.5,-3.3,0,2.0,0.0,69,3.0,6,1,3
2019-01-20 04:00:00,996.6,-4.1,1,2.4,0.0,76,1.0,6,1,4
2019-01-20 05:00:00,996.4,-4.2,0,2.5,0.0,75,2.0,6,1,5
2019-01-20 06:00:00,996.7,-3.7,0,1.8,0.0,68,0.0,6,1,6
2019-01-20 07:00:00,997.1,-4.0,0,2.2,0.0,70,0.0,6,1,7
2019-01-20 08:00:00,997.6,-4.0,0,1.9,0.0,71,2.0,6,1,8
2019-01-20 09:00:00,998.3,-2.1,0,1.7,0.0,66,0.0,6,1,9
2019-01-20 10:00:00,998.8,-0.7,0,1.6,0.0,59,4.0,6,1,10
2019-01-20 11:00:00,999.2,0.8,0,1.3,0.0,55,3.0,6,1,11
2019-01-20 12:00:00,999.3,1.1,0,2.2,0.0,58,1.0,6,1,12
2019-01-20 13:00:00,999.3,1.5,0,2.7,0.0,48,0.0,6,1,13
2019-01-20 14:00:00,999.4,1.6,0,2.4,0.0,49,3.0,6,1,14
2019-01-20 15:00:00,999.6,1.4,0,3.0,0.0,52,3.0,6,1,15
2019-01-20 16:00:00,1000.1,0.4,0,2.9,0.0,58,1.0,6,1,16
2019-01-20 17:00:00,1000.8,-0.6,0,2.8,0.0,69,0.0,6,1,17
2019-01-20 18:00:00,1001.1,-0.7,0,3.0,0.0,68,1.0,6,1,18
2019-01-20 19:00:00,1001.6,-1.1,0,2.9,0.0,70,0.0,6,1,19
2019-01-20 20:00:00,1002.0,-1.4,0,2.7,0.0,71,3.0,6,1,20
2019-01-20 21:00:00,1002.7,-1.7,0,2.6,0.0,71,2.0,6,1,21
2019-01-20 22:00:00,1003.1,-2.0,0,1.5,0.0,70,3.0,6,1,22
2019-01-20 23:00:00,1003.6,-3.8,0,1.5,0.0,80,1.0,6,1,23
2019-01-21 00:00:00,1003.8,-4.2,0,1.1,0.0,77,0.0,0,0,0
2019-01-21 01:00:00,1003.9,-2.4,0,1.6,0.0,65,1.0,0,0,1
2019-01-21 02:00:00,1004.1,-2.9,0,1.5,0.0,69,1.0,0,0,2
2019-01-21 03:00:00,1004.3,-3.1,0,2.1,0.0,71,1.0,0,0,3
2019-01-21 04:00:00,1004.1,-3.4,0,2.5,0.0,71,0.0,0,0,4
2019-01-21 05:00:00,1004.1,-4.0,0,1.8,0.0,76,4.0,0,0,5
2019-01-21 06:00:00,1004.0,-4.4,0,1.9,0.0,77,1.0,0,0,6
2019-01-21 07:00:00,1004.2,-4.3,0,2.4,0.0,73,5.0,0,0,7
2019-01-21 08:00:00,1004.7,-4.2,1,1.8,0.0,72,5.0,0,0,8
2019-01-21 09:00:00,1005.2,-3.1,0,2.2,0.0,70,1.0,0,0,9
2019-01-21 10:00:00,1005.1,-1.9,0,2.3,0.0,66,1.0,0,0,10
2019-01-21 11:00:00,1004.8,-0.9,0,2.6,0.0,63,3.0,0,0,11
2019-01-21 12:00:00,1004.2,-0.7,0,2.6,0.0,66,0.0,0,0,12
2019-01-21 13:00:00,1003.7,-0.2,0,3.0,0.0,59,5.0,0,0,13
2019-01-21 14:00:00,1003.2,0.3,0,2.5,0.0,62,5.0,0,0,14
2019-01-21 15:00:00,1002.4,-0.1,1,2.2,0.0,66,0.0,0,0,15
2019-01-21 16:00:00,1002.6,-1.0,0,2.2,0.0,70,4.0,0,0,16
2019-01-21 17:00:00,1002.0,-1.8,1,1.7,0.0,75,4.0,0,0,17
2019-01-21 18:00:00,1001.7,-2.4,5,2.2,0.0,76,3.0,0,0,18
2019-01-21 19:00:00,1001.5,-2.2,1,1.7,0.0,74,2.0,0,0,19
2019-01-21 20:00:00,1001.1,-2.7,0,1.8,0.0,76,1.0,0,0,20
2019-01-21 21:00:00,1000.6,-2.7,0,1.9,0.0,75,2.0,0,0,21
2019-01-21 22:00:00,1000.2,-2.9,1,2.6,0.0,75,3.0,0,0,22
2019-01-21 23:00:00,999.5,-3.1,5,2.7,0.0,76,2.0,0,0,23
2019-01-22 00:00:00,998.6,-3.2,8,2.3,0.0,76,0.0,1,0,0
2019-01-22 01:00:00,997.8,-3.1,7,2.7,0.0,75,1.0,1,0,1
2019-01-22 02:00:00,996.8,-3.2,8,3.4,0.0,73,0.0,1,0,2
2019-01-22 03:00:00,995.6,-3.1,1,2.9,0.0,70,0.0,1,0,3
2019-01-22 04:00:00,994.6,-3.2,0,3.0,0.0,69,5.0,1,0,4
2019-01-22 05:00:00,993.7,-3.4,7,2.4,0.0,70,2.0,1,0,5
2019-01-22 06:00:00,992.8,-3.5,4,2.9,0.0,70,4.0,1,0,6
2019-01-22 07:00:00,991.9,-3.3,8,4.2,0.0,70,6.0,1,0,7
2019-01-22 08:00:00,991.2,-2.9,8,4.6,0.0,67,8.0,1,0,8
