"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"WRTR_MN008","1303","201901010100","6","0","3"
"WRTR_MN008","1303","201901010200","6","0","3"
"WRTR_MN008","1303","201901010400","6","0","3"
"WRTR_MN008","1303","201901010500","0","0","3"
"WRTR_MN008","1303","201901010700","0","0","3"
"WRTR_MN008","1303","201901010800","6","0","3"
"WRTR_MN008","1303","201901011000","6","0","3"
"WRTR_MN008","1303","201901011100","6","0","3"
"WRTR_MN008","1303","201901011300","6","0","3"
"WRTR_MN008","1303","201901011400","6","0","3"
"WRTR_MN008","1303","201901011600","0","0","3"
"WRTR_MN008","1303","201901011700","6","0","3"
"WRTR_MN008","1303","201901011900","6","0","3"
"WRTR_MN008","1303","201901012000","6","0","3"
"WRTR_MN008","1303","201901012200","0","0","3"
"WRTR_MN008","1303","201901012300","6","0","3"
"WRTR_MN008","1303","201901020100","0","0","3"
"WRTR_MN008","1303","201901020200","0","0","3"
"WRTR_MN008","1303","201901020400","6","0","3"
"WRTR_MN008","1303","201901020500","0","0","3"
"WRTR_MN008","1303","201901020700","6","0","3"
"WRTR_MN008","1303","201901020800","6","0","3"
"WRTR_MN008","1303","201901021000","0","0","3"
"WRTR_MN008","1303","201901021100","0","0","3"
"WRTR_MN008","1303","201901021300","0","0","3"
"WRTR_MN008","1303","201901021400","0","0","3"
"WRTR_MN008","1303","201901021600","0","0","3"
"WRTR_MN008","1303","201901021700","0","0","3"
"WRTR_MN008","1303","201901021900","0","0","3"
"WRTR_MN008","1303","201901022000","0","0","3"
"WRTR_MN008","1303","201901022200","0","0","3"
"WRTR_MN008","1303","201901022300","0","0","3"
"WRTR_MN008","1303","201901030100","0","0","3"
"WRTR_MN008","1303","201901030200","0","0","3"
"WRTR_MN008","1303","201901030400","0","0","3"
"WRTR_MN008","1303","201901030500","6","0","3"
"WRTR_MN008","1303","201901030700","6","0","3"
"WRTR_MN008","1303","201901030800","6","0","3"
"WRTR_MN008","1303","201901031000","6","0","3"
"WRTR_MN008","1303","201901031100","6","0","3"
"WRTR_MN008","1303","201901031300","6","0","3"
"WRTR_MN008","1303","201901031400","6","0","3"
"WRTR_MN008","1303","201901031600","0","0","3"
"WRTR_MN008","1303","201901031700","6","0","3"
"WRTR_MN008","1303","201901031900","0","0","3"
"WRTR_MN008","1303","201901032000","0","0","3"
"WRTR_MN008","1303","201901032200","0","0","3"
"WRTR_MN008","1303","201901032300","0","0","3"
"WRTR_MN008","1303","201901040100","0","0","3"
"WRTR_MN008","1303","201901040200","0","0","3"
"WRTR_MN008","1303","201901040400","0","0","3"
"WRTR_MN008","1303","201901040500","0","0","3"
"WRTR_MN008","1303","201901040700","6","0","3"
"WRTR_MN008","1303","201901040800","6","0","3"
"WRTR_MN008","1303","201901041000","6","0","3"
"WRTR_MN008","1303","201901041100","6","0","3"
"WRTR_MN008","1303","201901041300","6","0","3"
"WRTR_MN008","1303","201901041400","6","0","3"
"WRTR_MN008","1303","201901041600","6","0","3"
"WRTR_MN008","1303","201901041700","6","0","3"
"WRTR_MN008","1303","201901041900","6","0","3"
"WRTR_MN008","1303","201901042000","6","0","3"
"WRTR_MN008","1303","201901042200","6","0","3"
"WRTR_MN008","1303","201901042300","6","0","3"
"WRTR_MN008","1303","201901050100","6","0","3"
"WRTR_MN008","1303","201901050200","6","0","3"
"WRTR_MN008","1303","201901050400","6","0","3"
"WRTR_MN008","1303","201901050500","6","0","3"
"WRTR_MN008","1303","201901050700","6","0","3"
"WRTR_MN008","1303","201901050800","6","0","3"
"WRTR_MN008","1303","201901051000","6","0","3"
"WRTR_MN008","1303","201901051100","6","0","3"
"WRTR_MN008","1303","201901051300","6","0","3"
"WRTR_MN008","1303","201901051400","6","0","3"
"WRTR_MN008","1303","201901051600","6","0","3"
"WRTR_MN008","1303","201901051700","6","0","3"
"WRTR_MN008","1303","201901051900","6","0","3"
"WRTR_MN008","1303","201901052000","6","0","3"
"WRTR_MN008","1303","201901052200","6","0","3"
"WRTR_MN008","1303","201901052300","0","0","3"
"WRTR_MN008","1303","201901060100","6","0","3"
"WRTR_MN008","1303","201901060200","6","0","3"
"WRTR_MN008","1303","201901060400","6","0","3"
"WRTR_MN008","1303","201901060500","6","0","3"
"WRTR_MN008","1303","201901060700","6","0","3"
"WRTR_MN008","1303","201901060800","6","0","3"
"WRTR_MN008","1303","201901061000","6","0","3"
"WRTR_MN008","1303","201901061100","6","0","3"
"WRTR_MN008","1303","201901061300","6","0","3"
"WRTR_MN008","1303","201901061400","6","0","3"
"WRTR_MN008","1303","201901061600","6","0","3"
"WRTR_MN008","1303","201901061700","6","0","3"
"WRTR_MN008","1303","201901061900","6","0","3"
"WRTR_MN008","1303","201901062000","6","0","3"
"WRTR_MN008","1303","201901062200","0","0","3"
"WRTR_MN008","1303","201901062300","6","0","3"
"WRTR_MN008","1303","201901070100","0","0","3"
"WRTR_MN008","1303","201901070200","0","0","3"
"WRTR_MN008","1303","201901070400","0","0","3"
"WRTR_MN008","1303","201901070500","0","0","3"
"WRTR_MN008","1303","201901070700","6","0","3"
"WRTR_MN008","1303","201901070800","6","0","3"
"WRTR_MN008","1303","201901071000","0","0","3"
"WRTR_MN008","1303","201901071100","6","0","3"
"WRTR_MN008","1303","201901071300","6","0","3"
"WRTR_MN008","1303","201901071400","6","0","3"
"WRTR_MN008","1303","201901071600","6","0","3"
