"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"SDK_MN004","1303","20190101","0","0","3"
"SDK_MN004","1303","20190102","0","0","3"
"SDK_MN004","1303","20190103","0","0","3"
"SDK_MN004","1303","20190104","0","0","3"
"SDK_MN004","1303","20190105","0","0","3"
"SDK_MN004","1303","20190106","0","0","3"
"SDK_MN004","1303","20190107","0","0","3"
"SDK_MN004","1303","20190108","0","0","3"
"SDK_MN004","1303","20190109","0","0","3"
"SDK_MN004","1303","20190110","0","0","3"
"SDK_MN004","1303","20190111","0","0","3"
"SDK_MN004","1303","20190112","0","0","3"
"SDK_MN004","1303","20190113","0","0","3"
"SDK_MN004","1303","20190114","2","0","3"
"SDK_MN004","1303","20190115","0","0","3"
"SDK_MN004","1303","20190116","0","0","3"
"SDK_MN004","1303","20190117","0.033","0","3"
"SDK_MN004","1303","20190118","4.5","0","3"
"SDK_MN004","1303","20190119","6.917","0","3"
"SDK_MN004","1303","20190120","8.033","0","3"
"SDK_MN004","1303","20190121","8.017","0","3"
"SDK_MN004","1303","20190122","3.6","0","3"
"SDK_MN004","1303","20190123","0.117","0","3"
"SDK_MN004","1303","20190124","0.083","0","3"
"SDK_MN004","1303","20190125","0","0","3"
"SDK_MN004","1303","20190126","0","0","3"
"SDK_MN004","1303","20190127","0","0","3"
"SDK_MN004","1303","20190128","0","0","3"
"SDK_MN004","1303","20190129","1","0","3"
"SDK_MN004","1303","20190130","0","0","3"
"SDK_MN004","1303","20190131","0","0","3"
"SDK_MN004","1303","20190201","3.25","0","3"
"SDK_MN004","1303","20190202","0","0","3"
"SDK_MN004","1303","20190203","4.7","0","3"
"SDK_MN004","1303","20190204","2.467","0","3"
"SDK_MN004","1303","20190205","0","0","3"
"SDK_MN004","1303","20190206","0.2","0","3"
"SDK_MN004","1303","20190207","2.517","0","3"
"SDK_MN004","1303","20190208","0","0","3"
"SDK_MN004","1303","20190209","2.35","0","3"
"SDK_MN004","1303","20190210","0","0","3"
"SDK_MN004","1303","20190211","1.967","0","3"
"SDK_MN004","1303","20190212","1.333","0","3"
"SDK_MN004","1303","20190213","4.967","0","3"
"SDK_MN004","1303","20190214","9.183","0","3"
"SDK_MN004","1303","20190215","9.65","0","3"
"SDK_MN004","1303","20190216","9.183","0","3"
"SDK_MN004","1303","20190217","8.783","0","3"
"SDK_MN004","1303","20190218","9.433","0","3"
"SDK_MN004","1303","20190219","2.667","0","3"
"SDK_MN004","1303","20190220","1.967","0","3"
"SDK_MN004","1303","20190221","2.6","0","3"
"SDK_MN004","1303","20190222","0.9","0","3"
"SDK_MN004","1303","20190223","9.633","0","3"
"SDK_MN004","1303","20190224","10.033","0","3"
"SDK_MN004","1303","20190225","10.067","0","3"
"SDK_MN004","1303","20190226","10.167","0","3"
"SDK_MN004","1303","20190227","10.383","0","3"
"SDK_MN004","1303","20190228","6.017","0","3"
"SDK_MN004","1303","20190301","0","0","3"
